domain,shift_variable,sensitivity_variable,median_shift,median_sensitivity_pp,pearson_shift_with_abs_component,pearson_sensitivity_with_abs_component,pearson_shift_times_sensitivity_with_abs_component
familiarity,familiarity_shift_pre_post_wasserstein_log1p,familiarity_sensitivity_pp,0.36361535550908575,1.803571973256024,-0.005283375397907902,0.07965180303582485,0.009831785480250972
rank,rank_shift_tvd,rank_sensitivity_pp,0.2,2.6703009352262552,0.060585575464579954,-0.07046595321154903,0.02936402175480734
role,role_shift_tvd,role_sensitivity_pp,0.19999999999999996,7.874219811208949,0.0320735761072111,0.08255920889741045,0.06421801594465303
