anonymized_player_id,rank_stratum,primary_role
P183,PLATINUM,UTILITY
P184,PLATINUM,TOP
P185,PLATINUM,UTILITY
P186,PLATINUM,JUNGLE
P187,PLATINUM,UTILITY
P188,PLATINUM,JUNGLE
P189,PLATINUM,TOP
P190,PLATINUM,TOP
P191,PLATINUM,JUNGLE
P192,PLATINUM,TOP
P193,PLATINUM,JUNGLE
P194,PLATINUM,TOP
P195,PLATINUM,JUNGLE
P196,PLATINUM,JUNGLE
P197,PLATINUM,TOP
P198,PLATINUM,TOP
P199,PLATINUM,TOP
P200,PLATINUM,TOP
P201,EMERALD,MIDDLE
P202,EMERALD,BOTTOM
P203,EMERALD,BOTTOM
P204,EMERALD,MIDDLE
P205,EMERALD,JUNGLE
P206,EMERALD,TOP
P207,EMERALD,UTILITY
P208,EMERALD,JUNGLE
P209,EMERALD,MIDDLE
P210,EMERALD,TOP
P211,EMERALD,BOTTOM
P212,EMERALD,UTILITY
P213,EMERALD,BOTTOM
P214,EMERALD,TOP
P215,EMERALD,MIDDLE
P216,EMERALD,UTILITY
P217,EMERALD,TOP
P218,EMERALD,UTILITY
P219,EMERALD,MIDDLE
P220,EMERALD,BOTTOM
P221,EMERALD,TOP
P222,EMERALD,BOTTOM
P223,EMERALD,MIDDLE
P224,EMERALD,JUNGLE
P225,EMERALD,UTILITY
P226,EMERALD,JUNGLE
P227,EMERALD,TOP
P228,EMERALD,TOP
P229,EMERALD,TOP
P230,EMERALD,JUNGLE
P231,EMERALD,MIDDLE
P232,EMERALD,JUNGLE
P233,EMERALD,BOTTOM
P234,EMERALD,TOP
P235,EMERALD,BOTTOM
P236,EMERALD,UTILITY
P237,EMERALD,UTILITY
P238,EMERALD,JUNGLE
P239,EMERALD,BOTTOM
P240,EMERALD,BOTTOM
P241,EMERALD,BOTTOM
P242,EMERALD,JUNGLE
P243,EMERALD,TOP
P244,EMERALD,BOTTOM
P245,EMERALD,TOP
P246,EMERALD,BOTTOM
P247,EMERALD,MIDDLE
P248,EMERALD,JUNGLE
P249,EMERALD,BOTTOM
P250,EMERALD,TOP
P251,EMERALD,TOP
P252,EMERALD,BOTTOM
P253,EMERALD,BOTTOM
P254,EMERALD,JUNGLE
P255,EMERALD,MIDDLE
P256,EMERALD,MIDDLE
P257,EMERALD,MIDDLE
P258,EMERALD,TOP
P259,EMERALD,UTILITY
P260,EMERALD,JUNGLE
P261,EMERALD,BOTTOM
P262,EMERALD,MIDDLE
P263,EMERALD,JUNGLE
P264,EMERALD,MIDDLE
P265,EMERALD,MIDDLE
P266,EMERALD,MIDDLE
P267,EMERALD,JUNGLE
P268,EMERALD,MIDDLE
P269,EMERALD,MIDDLE
P270,EMERALD,MIDDLE
P271,EMERALD,BOTTOM
P272,EMERALD,UTILITY
P273,EMERALD,MIDDLE
P274,EMERALD,MIDDLE
P275,EMERALD,BOTTOM
P276,EMERALD,TOP
P277,EMERALD,JUNGLE
P278,EMERALD,JUNGLE
P279,EMERALD,BOTTOM
P280,EMERALD,UTILITY
P281,EMERALD,TOP
P282,EMERALD,UTILITY
P283,EMERALD,UTILITY
P284,EMERALD,UTILITY
P285,EMERALD,UTILITY
P286,EMERALD,TOP
P287,EMERALD,UTILITY
P288,EMERALD,JUNGLE
P289,EMERALD,TOP
P290,EMERALD,UTILITY
P291,EMERALD,TOP
P292,EMERALD,TOP
P293,EMERALD,JUNGLE
P294,EMERALD,JUNGLE
P295,EMERALD,UTILITY
P296,EMERALD,UTILITY
P297,EMERALD,UTILITY
